Year,Recipient,Field,State
1980,"Krishnadasa, RaiRai Krishnadasa",Civil Service,Uttar Pradesh
1981,"Dhawan, SatishSatish Dhawan",Science & Engineering,Karnataka
1981,"Shankar, RaviRavi Shankar",Arts,Uttar Pradesh
1982,"Behn, MiraMira Behn",Social Work,– [C]
1985,"Rao, C. N. R.C. N. R. Rao",Science & Engineering,Karnataka
1985,"Menon, M. G. K.M. G. K. Menon",Civil Service,Kerala
1986,"Amte, BabaBaba Amte[e]",Social Work,Maharashtra
1986,"Maharaj, BirjuBirju Maharaj",Arts,Delhi
1986,"Paintal, Autar SinghAutar Singh Paintal",Medicine,Delhi
1987,"Chattopadhyay, KamaladeviKamaladevi Chattopadhyay",Social Work,Karnataka
1987,"Pal, Benjamin PearyBenjamin Peary Pal",Science & Engineering,Punjab
1987,"Singh, ManmohanManmohan Singh",Civil Service,Delhi
1987,"Vaidya, Arun ShridharArun Shridhar Vaidya",Civil Service,Maharashtra
1988,"Beg, Mirza HameedullahMirza Hameedullah Beg",Public Affairs,Delhi
1988,Kuvempu !Kuvempu,Literature & Education,Karnataka
1988,"Varma, MahadeviMahadevi Varma",Literature & Education,Uttar Pradesh
1989,"Dikshit, Uma ShankarUma Shankar Dikshit",Public Affairs,Uttar Pradesh
1989,"Khan, Ali AkbarAli Akbar Khan",Arts,West Bengal
1989,"Swaminathan, M. S.M. S. Swaminathan",Science & Engineering,Delhi
1990,"Arunachalam, V. S. R.V. S. R. Arunachalam",Literature & Education,Delhi
1990,"Chaturvedi, Triloki NathTriloki Nath Chaturvedi",Civil Service,Karnataka
1990,"Datta, BhabatoshBhabatosh Datta",Literature & Education,West Bengal
1990,"Gandharva, KumarKumar Gandharva",Arts,Madhya Pradesh
1990,"Kalam, A. P. J. AbdulA. P. J. Abdul Kalam",Science & Engineering,Tamil Nadu
1990,"Iyer, Semmangudi SrinivasaSemmangudi Srinivasa Iyer",Arts,Tamil Nadu
1991,"Balamuralikrishna, M.M. Balamuralikrishna",Arts,Tamil Nadu
1991,"Husain, M. F.M. F. Husain",Arts,Maharashtra
1991,"Mukherjee, HirendranathHirendranath Mukherjee",Public Affairs,West Bengal
1991,"Nanda, GulzarilalGulzarilal Nanda",Public Affairs,Gujarat
1991,"Patel, I. G.I. G. Patel",Science & Engineering,Gujarat
1991,"Ranga, N. G.N. G. Ranga",Public Affairs,Andhra Pradesh
1991,"Rustamji, Khusro FaramurzKhusro Faramurz Rustamji",Civil Service,Maharashtra
1991,"Shastri, RajaramRajaram Shastri",Literature & Education,Uttar Pradesh
1992,"Ali, Aruna AsafAruna Asaf Ali",Public Affairs,Delhi
1992,"Joshi, Lakshman ShastriLakshman Shastri Joshi",Literature & Education,Maharashtra
1992,"Mansur, MallikarjunMallikarjun Mansur",Arts,Karnataka
1992,"Padmavati, S. I.S. I. Padmavati",Medicine,Delhi
1992,"Rao, Kaloji NarayanaKaloji Narayana Rao",Arts,Telangana
1992,"Reddy, Ravi NarayanaRavi Narayana Reddy",Public Affairs,Telangana
1992,"Shantaram, V.V. Shantaram",Arts,Maharashtra
1992,"Shroff, GovindbhaiGovindbhai Shroff",Literature & Education,Maharashtra
1992,"Singh, SwaranSwaran Singh",Public Affairs,Punjab
1992,"Vajpayee, Atal BihariAtal Bihari Vajpayee",Public Affairs,Delhi
1998,"Mehta, UshaUsha Mehta",Social Work,Maharashtra
1998,"Palkhivala, NanabhoyNanabhoy Palkhivala",Public Affairs,Maharashtra
1998,"Sahgal, LakshmiLakshmi Sahgal",Public Affairs,Uttar Pradesh
1998,"Sisulu, WalterWalter Sisulu",Public Affairs,– [D]
1999,"Athavale, Pandurang ShastriPandurang Shastri Athavale",Social Work,Maharashtra
1999,"Chidambaram, RajagopalaRajagopala Chidambaram",Science & Engineering,Maharashtra
1999,"Deshmukh, NanajiNanaji Deshmukh",Social Work,Delhi
1999,"Gopal, SarvepalliSarvepalli Gopal",Literature & Education,Tamil Nadu
1999,"Gujral, SatishSatish Gujral",Arts,Delhi
1999,"Iyer, V. R. KrishnaV. R. Krishna Iyer",Public Affairs,Kerala
1999,"Joshi, BhimsenBhimsen Joshi",Arts,Maharashtra
1999,"Khanna, Hans RajHans Raj Khanna",Public Affairs,Delhi
1999,"Kurien, VergheseVerghese Kurien",Science & Engineering,Gujarat
1999,"Mangeshkar, LataLata Mangeshkar",Arts,Maharashtra
1999,"Nehru, Braj KumarBraj Kumar Nehru",Civil Service,Himachal Pradesh
1999,"Pattammal, D. K.D. K. Pattammal",Arts,Tamil Nadu
1999,"Singh, Lallan PrasadLallan Prasad Singh[i]#",Civil Service,Delhi
1999,"Vira, DharmaDharma Vira",Civil Service,Delhi
2000,"Bakht, SikanderSikander Bakht",Public Affairs,Delhi
2000,"Bhagwati, JagdishJagdish Bhagwati",Literature & Education,– [B]
2000,"Chaurasia, HariprasadHariprasad Chaurasia",Arts,Maharashtra
2000,"Gill, M. S.M. S. Gill",Civil Service,Delhi
2000,"Kasturirangan, KrishnaswamyKrishnaswamy Kasturirangan",Science & Engineering,Karnataka
2000,"Lall, K. B.K. B. Lall",Civil Service,Delhi
2000,"Mohapatra, KelucharanKelucharan Mohapatra",Arts,Odisha
2000,"Motiram, JasrajJasraj Motiram",Arts,Maharashtra
2000,"Narasimham, M.M. Narasimham",Trade & Industry,Andhra Pradesh
2000,"Narayan, R. K.R. K. Narayan",Literature & Education,Tamil Nadu
2000,"Pande, Bhairab DuttBhairab Dutt Pande",Civil Service,Uttarakhand
2000,"Raj, K. N.K. N. Raj",Literature & Education,Kerala
2000,"Singh, TarlokTarlok Singh",Civil Service,Delhi
2001,"Galbraith, John KennethJohn Kenneth Galbraith",Literature & Education,– [B]
2001,"Gilman, Benjamin A.Benjamin A. Gilman",Public Affairs,– [B]
2001,"Khan, Amjad AliAmjad Ali Khan",Arts,Delhi
2001,"Mehta, ZubinZubin Mehta",Arts,– [B]
2001,"Mukherjee, HrishikeshHrishikesh Mukherjee",Arts,Maharashtra
2001,"Murthy, Kotha SatchidandaKotha Satchidanda Murthy",Literature & Education,Andhra Pradesh
2001,"Narasimhan, Chakravarthi V.Chakravarthi V. Narasimhan",Civil Service,Tamil Nadu
2001,"Norota, HoseiHosei Norota",Public Affairs,– [E]
2001,"Rao, C. R.C. R. Rao",Science & Engineering,– [B]
2001,"Sharma, Man MohanMan Mohan Sharma",Science & Engineering,Maharashtra
2001,"Sharma, ShivkumarShivkumar Sharma",Arts,Maharashtra
2002,"Amonkar, KishoriKishori Amonkar",Arts,Maharashtra
2002,"Hangal, GangubaiGangubai Hangal",Arts,Karnataka
2002,"Maharaj, KishanKishan Maharaj",Arts,Uttar Pradesh
2002,"Rangarajan, C.C. Rangarajan",Literature & Education,Andhra Pradesh
2002,"Sorabjee, SoliSoli Sorabjee",Law,Delhi
2003,"Dorjee, Kazi LhendupKazi Lhendup Dorjee",Public Affairs,West Bengal
2003,"Mansingh, SonalSonal Mansingh",Arts,Delhi
2003,"Nanda, Bal RamBal Ram Nanda",Literature & Education,Delhi
2003,"Triguna, Brihaspati DevBrihaspati Dev Triguna",Medicine,Delhi
2004,"Narlikar, JayantJayant Narlikar",Science & Engineering,Maharashtra
2004,"Pritam, AmritaAmrita Pritam",Literature & Education,Delhi
2004,"Venkatachaliah, M. N.M. N. Venkatachaliah",Public Affairs,Karnataka
2005,"Banerji, Milon K.Milon K. Banerji",Public Affairs,Delhi
2005,"Dharia, MohanMohan Dharia",Social Work,Maharashtra
2005,"Dixit, Jyotindra NathJyotindra Nath Dixit",Civil Service,Delhi
2005,"Goyal, B. K.B. K. Goyal",Medicine,Maharashtra
2005,"Laxman, R. K.R. K. Laxman",Arts,Maharashtra
2005,"Narayan, RamRam Narayan",Arts,Maharashtra
2005,"Singh, KaranKaran Singh",Public Affairs,Delhi
2005,"Valiathan, M. S.M. S. Valiathan",Medicine,Karnataka
2006,"Borlaug, NormanNorman Borlaug",Science & Engineering,– [B]
2006,"Correa, CharlesCharles Correa",Science & Engineering,Maharashtra
2006,"Deshpande, NirmalaNirmala Deshpande",Social Work,Delhi
2006,"Devi, MahaswetaMahasweta Devi",Literature & Education,West Bengal
2006,"Gopalakrishnan, AdoorAdoor Gopalakrishnan",Arts,Kerala
2006,"Khare, V. N.V. N. Khare",Public Affairs,Uttar Pradesh
2006,"Rao, C. R. KrishnaswamyC. R. Krishnaswamy Rao",Civil Service,Tamil Nadu
2006,"Siddiqi, ObaidObaid Siddiqi",Science & Engineering,Karnataka
2006,"Tandon, Prakash NarainPrakash Narain Tandon",Medicine,Delhi
2007,"Bhagwati, P. N.P. N. Bhagwati",Public Affairs,Delhi
2007,"Chandra, NareshNaresh Chandra",Civil Service,Delhi
2007,"Chelliah, RajaRaja Chelliah",Public Affairs,Tamil Nadu
2007,"Krishnamurthy, V.V. Krishnamurthy",Civil Service,Delhi
2007,"Nariman, Fali SamFali Sam Nariman",Public Affairs,Delhi
2007,"Rao, RajaRaja Rao[ii]#",Literature & Education,– [B]
2007,"Sankaran, BaluBalu Sankaran",Medicine,Delhi
2007,"Singh, KhushwantKhushwant Singh[f]",Literature & Education,Delhi
2007,"Sudarshan, GeorgeGeorge Sudarshan",Science & Engineering,– [B]
2007,"Vohra, Narinder NathNarinder Nath Vohra",Civil Service,Haryana
2008,"Anand, Adarsh SeinAdarsh Sein Anand",Public Affairs,Uttar Pradesh
2008,"Anand, ViswanathanViswanathan Anand",Sports,Tamil Nadu
2008,"Bhosle, AshaAsha Bhosle",Arts,Maharashtra
2008,"Dhar, P. N.P. N. Dhar",Civil Service,Delhi
2008,"Hillary, EdmundEdmund Hillary",Sports,– [F]
2008,"Mittal, LakshmiLakshmi Mittal",Trade & Industry,– [C]
2008,"Mukherjee, PranabPranab Mukherjee",Public Affairs,Delhi
2008,"Murthy, N. R. NarayanaN. R. Narayana Murthy",Trade & Industry,Karnataka
2008,"Oberoi, Prithvi Raj SinghPrithvi Raj Singh Oberoi",Trade & Industry,Delhi
2008,"Pachauri, Rajendra K.Rajendra K. Pachauri",Science & Engineering,Delhi
2008,"Sreedharan, E.E. Sreedharan",Science & Engineering,Delhi
2008,"Tata, RatanRatan Tata",Trade & Industry,Maharashtra
2008,"Tendulkar, SachinSachin Tendulkar",Sports,Maharashtra
2009,"Bahuguna, SunderlalSunderlal Bahuguna",Others,Uttarakhand
2009,"Bajaj, Jasbir SinghJasbir Singh Bajaj",Medicine,Punjab
2009,"Chattopadhyaya, D. P.D. P. Chattopadhyaya",Literature & Education,West Bengal
2009,"Ganguly, Ashok SekharAshok Sekhar Ganguly",Trade & Industry,Maharashtra
2009,"Nirmala, SisterSister Nirmala",Social Work,West Bengal
2009,"Kakodkar, AnilAnil Kakodkar",Science & Engineering,Maharashtra
2009,"Lal, PurshotamPurshotam Lal",Medicine,Uttar Pradesh
2009,"Nair, G. MadhavanG. Madhavan Nair",Science & Engineering,Karnataka
2009,"Narain, GovindGovind Narain",Public Affairs,Uttar Pradesh
2009,"Srivastava, Chandrika PrasadChandrika Prasad Srivastava",Civil Service,Maharashtra
2010,"Alkazi, EbrahimEbrahim Alkazi",Arts,Delhi
2010,"Ramakrishnan, VenkatramanVenkatraman Ramakrishnan",Science & Engineering,– [C]
2010,"Reddy, Prathap C.Prathap C. Reddy",Trade & Industry,Tamil Nadu
2010,"Reddy, Y. VenugopalY. Venugopal Reddy",Public Affairs,Andhra Pradesh
2010,"Sehgal, ZohraZohra Sehgal",Arts,Delhi
2010,"Sivaraman, Umayalpuram K.Umayalpuram K. Sivaraman",Arts,Tamil Nadu
2011,"Ahluwalia, Montek SinghMontek Singh Ahluwalia",Public Affairs,Delhi
2011,"Jain, Lakshmi ChandLakshmi Chand Jain[iii][d]#",Public Affairs,Delhi
2011,"Kelkar, VijayVijay Kelkar",Public Affairs,Maharashtra
2011,"Kidwai, Akhlaqur RahmanAkhlaqur Rahman Kidwai",Public Affairs,Delhi
2011,"Kurup, O. N. V.O. N. V. Kurup",Literature & Education,Kerala
2011,"Mahapatra, SitakantSitakant Mahapatra",Literature & Education,Odisha
2011,"Mishra, BrajeshBrajesh Mishra",Civil Service,Delhi
2011,"Parasaran, K.K. Parasaran",Public Affairs,Delhi
2011,"Premji, AzimAzim Premji",Trade & Industry,Karnataka
2011,"Rao, Palle RamaPalle Rama Rao",Science & Engineering,Telangana
2011,"Rao, Akkineni NageswaraAkkineni Nageswara Rao",Arts,Andhra Pradesh
2011,"Vatsyayan, KapilaKapila Vatsyayan",Arts,Delhi
2011,"Vyarawalla, HomaiHomai Vyarawalla",Arts,Gujarat
2012,"Hazarika, BhupenBhupen Hazarika[iv]#",Arts,Assam
2012,"Miranda, MarioMario Miranda[v]#",Arts,Goa
2012,"Rajeswar, T. V.T. V. Rajeswar",Civil Service,Delhi
2012,"Sancheti, Kantilal HastimalKantilal Hastimal Sancheti",Medicine,Maharashtra
2012,"Subramanyan, K. G.K. G. Subramanyan",Arts,Gujarat
2013,"Mohapatra, RaghunathRaghunath Mohapatra",Arts,Odisha
2013,"Narasimha, RoddamRoddam Narasimha",Science & Engineering,Karnataka
2013,"Pal, YashYash Pal",Science & Engineering,Uttar Pradesh
2013,"Raza, S. H.S. H. Raza",Arts,Delhi
2014,"Iyengar, B. K. S.B. K. S. Iyengar",Others,Maharashtra
2014,"Mashelkar, Raghunath AnantRaghunath Anant Mashelkar",Science & Engineering,Maharashtra
2015,"Advani, L. K.L. K. Advani",Public Affairs,Gujarat
2015,"Bachchan, AmitabhAmitabh Bachchan",Arts,Maharashtra
2015,"Badal, Parkash SinghParkash Singh Badal",Public Affairs,Punjab
2015,"Heggade, VeerendraVeerendra Heggade",Social Work,Karnataka
2015,"Kumar, DilipDilip Kumar",Arts,Maharashtra
2015,"Rambhadracharya, Rambhadracharya",Others,Uttar Pradesh
2015,"Srinivasan, M. R.M. R. Srinivasan",Science & Engineering,Tamil Nadu
2015,"Venugopal, Kottayan KatankotKottayan Katankot Venugopal",Public Affairs,Delhi
2015,"Khan, Karim Al Hussaini AgaKarim Al Hussaini Aga Khan",Trade and Industry,– [G][C]
2016,", RajinikanthRajinikanth",Arts - Cinema,Tamil Nadu
2016,"Rao, RamojiRamoji Rao",Literature & Education - Journalism,Telangana
2016,", JagmohanJagmohan",Public Affairs,Delhi
2016,"Shankar (spiritual leader), RaviRavi Shankar (spiritual leader)",Others - Spiritualism,Karnataka
2016,"Ambani, DhirubhaiDhirubhai Ambani[vi]#",Trade & Industry,Maharashtra
2016,"Krishnamurthy, YaminiYamini Krishnamurthy",Arts - Classical Dance,Delhi
2016,"Devi, GirijaGirija Devi",Arts - Classical Vocal,West Bengal
2016,"Shanta, VV Shanta",Medicine - Oncology,Tamil Nadu
2016,"Aatre, V. K.V. K. Aatre",Science & Engineering,Karnataka
2016,"Dixit, AvinashAvinash Dixit",Literature & Education - Foreign,– [B]
